ratio of the leaf,angle of tip,rachis lenght,class
0.46,80,21.4,0
0.4,70,19,0
0.39,80,24,0
0.42,90,22.5,0
0.47,80,21.3,0
0.39,80,23,0
0.38,80,17.4,0
0.49,100,20.5,0
0.47,100,22.2,0
0.52,100,22.2,0
0.5,90,23,0
0.45,80,23.5,0
0.44,100,25,0
0.4,80,23,0
0.44,90,18,0
0.44,100,21.5,0
0.39,90,15,0
0.42,90,20.3,0
0.42,80,21,0
0.39,80,24.7,0
0.46,80,25.2,0
0.5,100,22.3,0
0.44,80,18,0
0.57,90,17.3,0
0.57,120,21.4,0
0.48,120,20,0
0.49,100,16,0
0.53,110,23,0
0.38,80,18,0
0.41,90,16.3,0
0.4,90,17.5,0
0.45,90,19.5,0
0.41,80,20.9,0
0.4,90,22,0
0.42,100,19.4,0
0.42,70,24.5,1
0.38,60,32,1
0.47,80,23.5,1
0.49,60,19,1
0.48,70,14.3,1
0.4,60,29.4,1
0.44,80,22,1
0.44,70,21.5,1
0.46,70,35.5,1
0.42,70,19,1
0.43,70,15.2,1
0.49,80,16,1
0.41,80,18.9,1
0.43,70,22,1
0.38,70,25.8,1
0.4,70,14.6,1
0.4,70,13.5,1
0.36,60,24.7,1
0.43,60,16,1
0.43,60,18.8,1
0.46,60,19,1
0.43,80,25.8,1
0.46,60,22.3,1
0.42,60,16,1
0.44,60,18.1,1
0.44,60,19.7,1
0.4,60,20.8,1
0.39,60,14.3,1
0.43,60,14,1
0.35,60,16.9,1
0.42,60,25.8,1
0.44,60,24,1
0.44,60,20,1
0.34,60,24.2,1
0.39,60,21.1,1
0.6,140,14,2
0.59,140,17,2
0.59,120,19,2
0.66,140,18.4,2
0.62,130,18.8,2
0.54,110,12,2
0.67,120,14.8,2
0.66,130,11.1,2
0.63,120,15.2,2
0.65,150,13.4,2
0.64,120,14.4,2
0.6,130,13.3,2
0.68,150,1.3,2
0.55,120,16.8,2
0.55,120,16.5,2
0.79,140,16.6,2
0.67,140,13,2
0.62,120,11.7,2
0.67,120,17.2,2
0.68,150,13.2,2
0.69,140,18.5,2
0.59,130,16.3,2
0.61,120,14,2
0.76,140,13.9,2
0.62,130,17.6,2
0.68,130,17.2,2
0.66,130,18.1,2
0.68,120,16.5,2
0.68,160,15,2
0.89,130,13.2,2
0.6,120,15.8,2
0.62,120,14.9,2
0.58,120,17.2,2
0.64,130,18.2,2
0.61,130,17.2,2
